id,address,price,beds,baths,sqft,latitude,longitude,photo
NYC001,123 Broadway,3200,2,1,850,40.7128,-74.006,https://photos.zillowstatic.com/fp/fe9077ca9128a59d096dd1b4ccd19b8e-se_extra_large_1500_800.webp
NYC002,456 5th Ave,4500,3,2,1200,40.7532,-73.9822,https://photos.zillowstatic.com/fp/7b0de2b62c70d551ea735525e8016be7-se_extra_large_1500_800.webp
NYC003,789 Park Ave,5500,4,3,2000,40.7711,-73.9644,https://photos.zillowstatic.com/fp/db550ee89a24eeafcea63dbcd86ffc65-se_large_800_400.webp
NYC004,101 Wall S,3800,2,1,900,40.7074,-74.0113,https://photos.zillowstatic.com/fp/ef9d84397cb3347ca65ca7941dfc7f93-se_large_800_400.webp
NYC005,202 West End Ave,6000,3,2.5,1800,40.7776,-73.9904,https://photos.zillowstatic.com/fp/4b2e871d5e0b0e7ef07965e3c6a54840-se_large_800_400.webp
NYC006,234 East 50th St,3100,1,1,700,40.754,-73.968,https://www.glenwoodnyc.com/wp-content/uploads/2019/01/encore-living-room.jpg
NYC007,567 West 42nd St,4800,2,2,1100,40.76,-73.996,https://www.apartments.com/images/default-source/default-album/the-eugene.jpg
NYC008,890 Columbus Ave,3700,2,1.5,950,40.798,-73.964,https://gtspirit.com/wp-content/uploads/2015/09/nyc-apartment.jpg
NYC009,123 East 88th St,4500,3,2,1300,40.78,-73.955,https://www.freshpalace.com/wp-content/uploads/2014/09/manhattan-apartment.jpg
NYC010,456 West End Ave,5200,3,2.5,1500,40.785,-73.98,https://www.zumper.com/blog/wp-content/uploads/2015/07/luxury-nyc-apartment.jpg
NYC011,789 Lexington Ave,2900,1,1,650,40.762,-73.97,https://kellyinthecity.com/wp-content/uploads/2014/08/nyc-apartment-search.jpg
NYC012,1010 Park Ave,6100,4,3.5,2000,40.778,-73.96,https://www.homedit.com/wp-content/uploads/2015/07/nyc-luxury-apartment.jpg
NYC013,2020 Broadway,3300,2,1,900,40.775,-73.98,https://www.architecturaldigest.com/story/nyc-apartment-beach-vibes.jpg
NYC014,3030 5th Ave,4700,3,2,1400,40.75,-73.99,https://www.thetimes.co.uk/images/serviced-apartments-nyc.jpg
NYC015,4040 Madison Ave,3500,2,1.5,1000,40.76,-73.975,https://nypost.com/wp-content/uploads/2025/02/nyc-apartment-subway.jpg
NYC016,5050 7th Ave,3900,2,2,1050,40.71,-74.01,https://www.ft.com/content/nyc-apartment-5m.jpg
NYC017,6060 3rd Ave,4200,3,2,1200,40.73,-73.99,https://www.curbed.com/images/nyc-apartments.jpg
NYC018,7070 2nd Ave,3100,1,1,750,40.72,-73.98,https://www.apartments.com/images/nyc-apartment.jpg
NYC019,8080 1st Ave,4600,3,2.5,1450,40.74,-73.97,https://www.renthop.com/images/nyc-apartment.jpg
NYC020,9090 Amsterdam Ave,3400,2,1.5,950,40.8,-73.97,https://www.trulia.com/images/nyc-apartment.jpg
NYC021,1111 Riverside Dr,3800,2,2,1100,40.81,-73.96,https://www.zillow.com/images/nyc-apartment.jpg
NYC022,1212 York Ave,5000,3,2.5,1600,40.76,-73.95,https://www.realtor.com/images/nyc-apartment.jpg
NYC023,1313 8th Ave,3200,1,1,800,40.67,-73.98,https://www.rentcafe.com/images/nyc-apartment.jpg
NYC024,1414 9th Ave,3700,2,1.5,1000,40.68,-73.99,https://www.instagram.com/p/nyc-apartment.jpg
NYC025,1515 10th Ave,4100,2,2,1150,40.69,-74.0,https://www.apartmentlist.com/images/nyc-apartment.jpg
NYC026,1616 11th Ave,4500,3,2,1300,40.7,-74.01,https://people.com/images/nyc-apartment.jpg
NYC027,1717 12th Ave,2900,1,1,700,40.71,-74.02,https://www.curbed.com/images/nyc-apartment.jpg
NYC028,1818 13th Ave,5300,4,3,1800,40.72,-74.03,https://nypost.com/images/nyc-apartment.jpg
NYC029,1919 14th Ave,3100,1,1,750,40.73,-74.04,https://en.wikipedia.org/wiki/StreetEasy#/media/File:nyc-apartment.jpg
NYC030,2021 15th Ave,4800,3,2.5,1500,40.74,-74.05,https://www.glenwoodnyc.com/images/nyc-apartment.jpg
